intervention_type,n,prosociality_composite_mean,prosociality_composite_std,empathy_mean,empathy_std,constructiveness_mean,constructiveness_std,respect_mean,respect_std,social_cohesion_mean,social_cohesion_std
positive_reinforcement,2246,2.689,0.951,2.562,0.879,2.715,0.97,3.068,1.061,2.41,1.061
reframe,92490,3.406,0.902,3.055,0.971,3.031,1.006,4.195,0.844,3.341,1.035
