,PC1,PC2,PC3,PC4
empathy,0.5088,0.0912,0.7266,-0.4526
constructiveness,0.4796,0.7111,-0.4999,-0.1202
respect,0.484,-0.6897,-0.4431,-0.3062
social_cohesion,0.5262,-0.1019,0.1606,0.8288
