group,n,mean,sd,p10,p25,p50,p75,p90
tier_d_with_rt,15647,3442.9,27012.5,1.7,5.5,32.9,461.5,1917.6
tiers_ac,396465,4607.1,32064.1,3.0,9.2,61.0,672.1,2478.1
