intervener_role,n,prosociality_composite_mean,prosociality_composite_std,empathy_mean,empathy_std,constructiveness_mean,constructiveness_std,respect_mean,respect_std,social_cohesion_mean,social_cohesion_std
formal_authority,3541,2.154,1.276,1.723,1.208,2.334,1.413,2.664,1.593,1.896,1.294
peer_editor,1229,2.95,1.326,2.517,1.417,3.008,1.342,3.567,1.421,2.707,1.432
